ath:AT4G29050	PF00069,PF00139,PF01636,PF07714,PF09716
ath:AT4G21770	PF00849,PF08705
ath:AT4G03400	PF03321
ath:AT2G25610	PF00137,PF02665
ath:AT1G62480	PF13550
ath:AT1G14970	PF10250
ath:AT5G54100	PF01145,PF13421
ath:AT4G11175	PF00575,PF01176,PF01245
ath:AT2G47300	PF06978,PF08170
ath:AT2G02590	PF06695,PF10810
ath:AT1G70250	PF00069,PF00314,PF07714,PF14368
ath:AT2G33385	PF04045,PF07478
ath:AT4G39330	PF00107,PF02826,PF08240
ath:AT4G17640	PF01214
ath:AT2G39850	PF00082,PF05922
ath:AT1G49405	PF01284,PF04535
ath:AT2G24280	PF00326,PF00561,PF05577,PF06070,PF07859,PF12695,PF12697
ath:AT3G22220	PF02892,PF04937,PF05699
ath:AT5G40070	PF10500
ath:AT5G05260	PF00067
ath:AT3G62280	PF00657
ath:AT1G18610	PF01344,PF07646,PF13415,PF13418,PF13854,PF13964
ath:AT3G09100	PF00102,PF00782,PF01068,PF01331,PF03162,PF13350,PF14566
ath:AT3G10810	PF02535,PF04592,PF09726
ath:AT3G14770	PF03083,PF06177,PF07242,PF07907,PF13273
ath:AT1G80530	PF02562,PF06813,PF07690
ath:AT2G39851	PF02560,PF05922,PF08516,PF11985
ath:AT1G03040	PF00010,PF00772,PF04281
ath:AT1G66120	PF00501,PF13193
ath:AT4G02390	PF00644,PF02037,PF02877,PF05406
ath:AT3G58150	PF07047,PF07303
ath:AT3G50870	PF00320,PF14977
ath:AT3G49160	PF00224,PF03328
ath:AT1G54710	PF00400,PF12490
ath:AT4G24080	PF03328
ath:AT1G17280	PF00179,PF05773
ath:AT1G76400	PF04597
ath:AT5G10610	PF00067
ath:AT1G31690	PF01179,PF02727,PF02728
ath:AT2G42330	PF01585,PF07842,PF12457,PF12656
ath:AT1G05870	PF03308,PF07939
ath:AT5G50670	PF03110,PF11624
ath:AT4G12670	PF13325
ath:AT3G54510	PF00335,PF02714,PF06772,PF13967
ath:AT2G43870	PF00295,PF05048,PF12708,PF13229
ath:AT2G16510	PF00137
ath:AT2G34880	PF02318,PF02373,PF02375,PF02928,PF05964,PF05965,PF12585
ath:AT5G45000	PF01582,PF13676
ath:AT5G24850	PF00875,PF03441
ath:AT4G34360	PF00398,PF01209,PF01564,PF02353,PF02390,PF03291,PF05148,PF05175,PF05401,PF07021,PF07091,PF08241,PF08242,PF12847,PF13489,PF13578,PF13649,PF13659,PF13679,PF13847
ath:AT4G08540	PF03670,PF10186
ath:AT3G10815	PF00097,PF04423,PF07699,PF11789,PF12678,PF12861,PF13445,PF13639,PF13920,PF13923,PF14369,PF14446,PF14634,PF15616
ath:AT1G61150	PF02223,PF08513,PF10607
ath:AT1G13640	PF00240,PF00454
ath:AT5G60950	PF00553,PF04833
ath:AT5G46540	PF00005,PF00006,PF00503,PF00664,PF01078,PF01935,PF02463,PF03193,PF03205,PF04670,PF05673,PF06414,PF07579,PF09818,PF13175,PF13191,PF13207,PF13238,PF13304,PF13401,PF13555,PF13558,PF13604
ath:AT3G53180	PF00120,PF03951,PF04909
ath:AT1G09510	PF00106,PF01073,PF01370,PF02719,PF05198,PF05368,PF07993,PF08659,PF13460
ath:AT1G35330	PF00097,PF05883,PF11793,PF12678,PF12861,PF12906,PF13639,PF13920,PF13923,PF14634
ath:AT3G05670	PF00097,PF00628,PF03854,PF05290,PF12678,PF12861,PF13639,PF13831,PF13920,PF13923,PF14634
ath:AT1G75390	PF00170,PF03131,PF07558,PF07716,PF12316,PF13863
ath:AT1G27880	PF00270,PF00271,PF04851,PF05756
ath:AT2G15180	PF00098
ath:AT3G13120	PF00338
ath:AT5G59240	PF01201
ath:AT4G30720	PF00070,PF00890,PF01134,PF01262,PF01266,PF01494,PF01946,PF02558,PF02737,PF03486,PF03721,PF04820,PF07992,PF12831,PF13241,PF13450,PF13454,PF13738
ath:AT4G16310	PF00070,PF00890,PF01134,PF01262,PF01266,PF01488,PF01494,PF01593,PF01946,PF03486,PF04433,PF04820,PF05834,PF07992,PF12241,PF12831,PF13241,PF13450,PF13454,PF13738
ath:AT3G27360	PF00125,PF00808,PF07524,PF15511,PF15630
ath:AT1G49570	PF00141
ath:AT1G71430	PF11092,PF15370
ath:AT3G18370	PF00168
ath:AT1G76405	PF13621
ath:AT4G38000	PF02701,PF07282,PF12773
ath:AT4G04900	PF00786
ath:AT1G63980	PF01585,PF05432,PF08235,PF08595,PF12656
ath:AT1G22590	PF03286
ath:AT5G01510	PF04884,PF06216
ath:AT4G11020	PF14009
ath:AT1G59850	PF02791,PF02985,PF08161,PF12765,PF13513,PF13646
ath:AT2G33230	PF00070,PF00743,PF01266,PF01494,PF01946,PF03486,PF05834,PF07992,PF13434,PF13450,PF13454,PF13738
ath:AT2G25780	PF07911,PF10440
ath:AT5G41570	PF03106
ath:AT5G14210	PF00069,PF00560,PF01034,PF04156,PF07714,PF10577,PF12799,PF13516,PF13855,PF15069
ath:AT4G25260	PF04043,PF04518
ath:AT4G03570	PF05210,PF07708
ath:AT3G45410	PF00069,PF00139,PF01636,PF07714,PF12260
ath:AT2G29100	PF00060,PF00497,PF01094,PF13458
ath:AT1G04540	PF00168
ath:AT2G47470	PF00085,PF00578,PF07449,PF07749,PF08534,PF13098,PF13848,PF13899,PF13905
ath:AT1G30360	PF02714,PF13967,PF14703
ath:AT1G67620	PF02410,PF08354
ath:AT5G63260	PF00642,PF14608
ath:AT5G28450	PF00504
ath:AT5G15750	PF00163,PF01479
ath:AT1G26230	PF00118
ath:AT3G05675	PF00651
ath:AT1G52050	PF01419
ath:ArthCp080	PF00346,PF00374
ath:AT5G42905	PF00075,PF13456
ath:AT5G37440	PF00226,PF10497
ath:AT4G33030	PF01266,PF01370,PF02719,PF03721,PF13439,PF13450
ath:AT3G59650	PF05047
ath:AT3G44080	PF00646,PF12937
ath:AT1G66290	PF00646,PF07723,PF08387
ath:AT1G18780	PF00097,PF12678,PF12861,PF13445,PF13639,PF13920,PF13923,PF14634,PF15227
ath:ArthCp081	PF00312,PF02841,PF10496,PF13412,PF14090
ath:AT1G45616	PF00560,PF08263,PF12799,PF13516,PF13855
ath:AT1G62330	PF10250
ath:AT1G14820	PF00650,PF13716
ath:AT3G09270	PF00043,PF00462,PF02798,PF13409,PF13410,PF13417,PF14497
ath:AT3G10980	PF04749,PF11204,PF12794
ath:AT1G67623	PF00646,PF12937,PF13219
ath:AT1G70100	PF00771
ath:ArthCp083	PF00004,PF05695
ath:AT4G35860	PF00009,PF00025,PF00071,PF04670,PF08477
ath:AT2G39700	PF01357,PF03330
ath:AT1G76570	PF00504
ath:AT2G24130	PF00069,PF00560,PF01163,PF01633,PF01636,PF03109,PF07714,PF08263,PF09661,PF12799,PF13516,PF13855,PF14531
ath:AT2G28090	PF00403,PF00527
ath:AT2G02440	PF07466,PF11346
ath:ArthCp084	PF00276
ath:AT5G10780	PF06417
ath:AT3G62130	PF00177,PF00266
ath:AT3G14620	PF00067
ath:AT3G23727	PF06876
ath:ArthCp085	PF00181,PF03947
ath:AT5G45170	PF06238,PF12710,PF13419
ath:AT5G32470	PF03070,PF12710
ath:AT5G05110	PF00031
ath:AT3G50720	PF00069,PF01636,PF06293,PF07714,PF14531
ath:AT3G49010	PF01294,PF06052
ath:AT1G72930	PF01582,PF08937,PF12074,PF13676
ath:AT2G38370	PF05701
ath:AT1G58520	PF00657,PF02714,PF13967
ath:ArthCp086	PF00361
ath:AT5G19350	PF00076,PF08777,PF08952,PF13300,PF13893,PF14259
ath:AT5G06650	PF00096,PF13894,PF13912
ath:AT3G58000	PF05678
ath:AT3G28860	PF00005,PF00664,PF01580,PF01935,PF02463,PF03193,PF06414,PF09818,PF13191,PF13207,PF13245,PF13304,PF13401,PF13476,PF13555,PF13604
ath:AT3G24900	PF00560,PF05957,PF12799,PF13516,PF13855,PF15185
ath:AT1G17130	PF01194,PF04502,PF10133
ath:AT3G13290	PF00400
ath:AT3G10985	PF07107
ath:AT4G16480	PF00083,PF06609,PF07690,PF13347
ath:AT1G09680	PF00406,PF01535,PF10037,PF12854,PF13041,PF13812
ath:AT1G31540	PF00004,PF00005,PF00485,PF00910,PF00931,PF01582,PF04665,PF05729,PF07725,PF12799,PF13191,PF13207,PF13238,PF13306,PF13401,PF13676,PF13855
ath:AT3G10986	PF04525
ath:AT1G68800	PF03634,PF09507
ath:ArthCp088	PF00177
ath:AT5G50520	PF06813
ath:AT5G33806	PF12718,PF14712
ath:AT4G38170	PF04434,PF10551
ath:AT4G30890	PF00443,PF13423
ath:AT4G12520	PF00234,PF14368,PF14547
ath:AT2G39705	PF08137,PF12190
ath:AT1G05720	PF08806
ath:AT2G34730	PF04582
ath:AT2G43720	PF05811,PF08676,PF10193
ath:AT4G34210	PF01466,PF03931
ath:AT3G46910	PF00888,PF08539
ath:AT1G61000	PF01576,PF03800,PF04582,PF06008,PF08581,PF12128,PF12329
ath:AT5G64760	PF01399,PF12792,PF14301
ath:AT5G60800	PF00403,PF11865
ath:AT4G26760	PF03999
ath:AT4G11190	PF03018
ath:AT1G53550	PF00646,PF07734,PF08268,PF12937
ath:AT5G38940	PF00190,PF02311,PF07883,PF13464
ath:AT5G01680	PF00999
ath:AT3G53030	PF00069,PF07714
ath:AT1G75240	PF04770,PF09579,PF12887
ath:AT1G27730	PF00096,PF12171,PF12874,PF13465,PF13894,PF13912
ath:AT3G18220	PF01569,PF03600
ath:AT1G67790	PF14576,PF14577
ath:AT3G23890	PF00204,PF00521,PF01751
ath:AT1G12160	PF00743,PF00890,PF01266,PF01593,PF01946,PF02558,PF03446,PF03486,PF03721,PF07992,PF12831,PF13434,PF13450,PF13454,PF13738
ath:AT1G49420	PF00403
ath:AT3G05520	PF01267
ath:AT5G23370	PF02893
ath:AT3G45580	PF00097,PF01485,PF07975,PF13456,PF13639,PF13923,PF14634,PF15227
ath:AT1G63830	PF04749
ath:AT3G19760	PF00270,PF00271,PF04851,PF05127,PF06862,PF07652,PF13245,PF13604,PF14617
ath:AT1G08030	PF00685,PF03567
ath:AT3G04190	PF00190,PF07883,PF12973
ath:AT4G34215	PF03629,PF08734
ath:AT4G07380	PF05384,PF06217
ath:AT3G55860	PF05922,PF07160
ath:AT1G48090	PF00168,PF06101,PF06650,PF09333,PF12624
ath:AT1G59700	PF00043,PF02798,PF13409,PF13410,PF13417,PF14497
ath:AT4G29070	PF00068,PF06951
ath:AT4G21790	PF04247,PF06454
ath:AT4G03420	PF05623
ath:AT1G30210	PF03634
ath:AT2G25630	PF00232
ath:AT5G63110	PF00850
ath:AT5G15600	PF01456,PF05086,PF15421
ath:AT4G25110	PF00656,PF06943,PF12374
ath:AT4G17660	PF00069,PF01636,PF07714,PF14531
ath:AT2G47320	PF00160,PF06365
ath:AT1G70270	PF04220
ath:AT5G55660	PF08766,PF12630
ath:AT5G28300	PF00249,PF10545,PF13837,PF13873,PF13921
ath:AT4G39350	PF02318,PF03552,PF13632,PF13641,PF14569,PF14570
ath:AT3G59500	PF03878,PF04893
ath:AT3G22240	PF12734
ath:AT1G18630	PF00076,PF05172,PF07172,PF13893,PF14259
ath:AT3G14790	PF00106,PF01073,PF01370,PF02719,PF04321,PF07993,PF13460
ath:AT1G66140	PF00096,PF12171,PF13912
ath:AT5G40090	PF00004,PF00005,PF00158,PF00931,PF01582,PF01637,PF01935,PF03969,PF04665,PF05729,PF13173,PF13191,PF13207,PF13238,PF13401
ath:AT5G05280	PF00097,PF00628,PF08746,PF11793,PF12678,PF12861,PF12906,PF13639,PF13920,PF13923,PF14446,PF14570,PF14634
ath:AT3G09120	PF05056
ath:AT1G80550	PF01535,PF12854,PF13041,PF13812
ath:AT1G03060	PF00400,PF02138,PF13385,PF14844
ath:AT3G58170	PF05739
ath:AT3G50890	PF01870,PF04770,PF12887
ath:AT3G49180	PF00400
ath:AT1G48095	PF14392
ath:AT1G54730	PF00083,PF07690
ath:AT4G35710	PF03087,PF14842
ath:AT1G76420	PF02365
ath:AT2G20660	PF05498
ath:AT5G10630	PF00009,PF00628,PF00641,PF01926,PF02263,PF03143,PF03144,PF03205,PF08477,PF14001,PF14578
ath:AT4G20140	PF00069,PF00560,PF03109,PF07714,PF08263,PF12799,PF13516,PF13855,PF14531
ath:AT2G42350	PF00097,PF00628,PF08746,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14446,PF14447,PF14570,PF14634,PF14835,PF15227
ath:AT1G05890	PF00097,PF01485,PF13639,PF13923,PF14634,PF15227
ath:AT5G50690	PF00106,PF01370,PF08659,PF12242,PF13460
ath:AT4G34380	PF00400,PF08801,PF11715
ath:AT4G12690	PF05910
ath:AT2G38220	PF13639,PF13920,PF13923,PF14634
ath:AT2G43890	PF00295,PF12708
ath:AT1G21110	PF00891,PF05891,PF08100
ath:AT2G16530	PF02544
ath:AT5G45020	PF00043,PF13409,PF13410,PF13417,PF14497
ath:AT5G24870	PF00097,PF08746,PF11793,PF12678,PF12861,PF13639,PF13771,PF13832,PF13920,PF13923,PF14570,PF14634
ath:AT5G06500	PF00319
ath:AT4G08560	PF00806,PF05938
ath:AT3G28710	PF01992
ath:AT1G35350	PF01384,PF03105,PF03124
ath:AT1G80555	PF00180
ath:AT1G66145	PF11807
ath:AT3G13140	PF00403
ath:AT5G60970	PF03634
ath:AT5G59260	PF00069,PF00139,PF01636,PF03109,PF07714,PF14531
ath:AT5G46560	PF09402,PF12329
ath:AT5G19200	PF00006,PF00106,PF01073,PF01370,PF02719,PF03807,PF04127,PF05368,PF08659,PF10879,PF12242,PF13460,PF13561
ath:AT1G09530	PF00010
ath:AT3G05690	PF02045
ath:AT4G38020	PF00588
ath:AT4G16330	PF03171,PF14226
ath:AT3G27380	PF00111,PF12838,PF13085,PF13183,PF13187,PF13237,PF13534,PF13746
ath:AT1G49590	PF04961,PF06220
ath:AT1G71450	PF00847
ath:AT1G23940	PF01602,PF13646
ath:AT3G18390	PF01985,PF14282
ath:AT5G42920	PF09766
ath:AT1G05894	PF09848
ath:AT5G64610	PF00385,PF01853,PF07231,PF11717,PF13894
ath:AT4G26610	PF00069,PF01636,PF06293,PF07714,PF14531
ath:AT1G59870	PF00004,PF00005,PF00437,PF01061,PF02367,PF03193,PF03266,PF06068,PF06422,PF08370,PF12698,PF13086,PF13191,PF13245,PF13304,PF13481,PF13521,PF13555,PF13558,PF13671,PF14510
ath:AT2G16535	PF09180
ath:AT1G53400	PF05424
ath:AT5G01530	PF00504
ath:AT3G28715	PF01992
ath:AT5G41590	PF04525
ath:AT5G23220	PF00857,PF06940,PF12759
ath:AT5G14230	PF00023,PF02952,PF12796,PF13606,PF13637,PF13857
ath:AT4G25280	PF00406,PF02223,PF06414,PF13207,PF13238,PF13245,PF13671
ath:AT3G45430	PF00069,PF00139,PF01636,PF07714,PF14610,PF15102
ath:AT1G67640	PF01490,PF03222
ath:AT2G29120	PF00060,PF00497,PF01094,PF13458
ath:AT1G12010	PF03171,PF14226
ath:AT1G52070	PF01419,PF10425
ath:AT1G04560	PF05512
ath:AT2G47490	PF00153
ath:AT1G30380	PF01241
ath:AT5G63280	PF00096,PF12171,PF13894,PF15202
ath:AT5G28470	PF00854
ath:AT5G15770	PF00098,PF00583,PF01873,PF13508,PF13523,PF13527,PF13673,PF14542
ath:AT1G26250	PF04554
ath:AT3G19610	PF06075
ath:AT5G37460	PF04510,PF10050
ath:AT4G33050	PF00612
ath:AT3G55710	PF00201,PF04101,PF11745
ath:AT1G77920	PF00170,PF03131,PF06424,PF07716,PF14144
ath:AT4G21640	PF00082,PF05922
ath:AT1G62350	PF01535,PF13041
ath:AT1G14840	PF07058,PF13747
ath:AT3G09290	PF04180,PF13912
ath:AT1G70120	PF06651,PF12653
ath:AT1G76590	PF04640
ath:AT2G33255	PF00702,PF09419,PF12710,PF13242,PF13419
ath:AT5G55510	PF02466
ath:AT4G35880	PF00026,PF14541,PF14543
ath:AT4G17510	PF01088
ath:AT2G39720	PF00097,PF04423,PF06547,PF10367,PF12678,PF12861,PF13639,PF13832,PF13920,PF13923,PF14369,PF14634
ath:AT2G24150	PF03006,PF06127
ath:AT5G05130	PF00097,PF00176,PF00271,PF04851,PF08797,PF11496,PF11789,PF12678,PF12861,PF13639,PF13920,PF13923,PF14634,PF15227
ath:AT4G39200	PF03297,PF12029,PF12802,PF13412
ath:AT3G62150	PF00005,PF00503,PF00664,PF01935,PF02463,PF03193,PF05673,PF06414,PF07728,PF09818,PF13191,PF13207,PF13238,PF13304,PF13401,PF13555,PF13558,PF13604
ath:AT3G14640	PF00067
ath:AT2G29125	PF03353,PF08137
ath:AT1G80400	PF00097,PF12678,PF12861,PF12906,PF13639,PF13771,PF13920,PF13923,PF14342,PF14634
ath:AT1G21280	PF03732,PF13961,PF14223,PF14244
ath:AT5G45190	PF00134,PF02984
ath:AT5G06670	PF00225
ath:AT4G02260	PF01842,PF01966,PF02824,PF04607,PF10957,PF13291,PF13328
ath:AT3G58020	PF00226
ath:AT3G50740	PF00201,PF04101,PF13528
ath:AT3G49030	PF00646,PF07723,PF08387,PF12937
ath:AT3G28880	PF00023,PF12796,PF12872,PF13606,PF13637,PF13857,PF13920
ath:AT1G72950	PF00931,PF01582,PF05445,PF08937,PF13676
ath:AT2G38390	PF00141
ath:AT5G54180	PF02536
ath:AT5G19370	PF00581,PF00639,PF13145,PF13616
ath:AT1G17150	PF00295,PF05572,PF12708
ath:AT2G20510	PF01442,PF04280,PF10150
ath:AT1G68820	PF10269,PF13920,PF13923,PF14634
ath:AT2G42200	PF03110
ath:AT4G38190	PF00535,PF03552,PF13632,PF13641,PF13920,PF14569,PF14570
ath:AT2G39725	PF05347,PF13232
ath:AT1G05740	PF04702,PF05811
ath:AT2G34750	PF05327
ath:AT2G43740	PF01419
ath:AT4G34230	PF00107,PF01262,PF02826,PF03446,PF03807,PF08240,PF10727,PF13460
ath:AT3G46930	PF00069,PF01163,PF01636,PF07714,PF14531
ath:AT1G13510	PF05431,PF06880
ath:AT1G19980	PF12325,PF14027
ath:AT5G64780	PF03221,PF15251
ath:AT5G60820	PF00097,PF12678,PF12861,PF13639,PF13920,PF13923,PF14634
ath:AT5G46410	PF03031
ath:AT4G26780	PF01025,PF06409,PF09457,PF10500,PF15005
ath:AT4G08410	PF04554
ath:AT1G27750	PF05918,PF07744,PF13893
ath:AT3G04000	PF00106,PF01370,PF08643,PF08659,PF12242,PF13548,PF13561
ath:AT1G53570	PF00069,PF06293,PF07387,PF07714,PF14531
ath:AT2G15050	PF00234,PF14368
ath:AT5G38960	PF00190,PF07883
ath:AT5G23390	PF02453,PF04842,PF06398
ath:AT3G53050	PF02140
ath:AT3G27230	PF03141,PF08241
ath:AT1G71300	PF04129,PF09763
ath:AT3G18240	PF09476,PF10213
ath:AT3G05540	PF00838
ath:AT1G68825	PF08137
ath:AT3G19780	PF00007,PF00085,PF02622,PF13098,PF13899,PF13905
ath:AT1G63850	PF00651,PF04739
ath:AT2G29290	PF00106,PF00709,PF01370,PF07993,PF08659,PF13460,PF13561
ath:AT4G12545	PF00234,PF14368,PF14547
ath:AT3G01900	PF00067
ath:AT1G08050	PF00092,PF00097,PF00628,PF05762,PF08746,PF12678,PF12861,PF13519,PF13639,PF13768,PF13920,PF13923,PF14569,PF14570,PF14624,PF14634
ath:AT1G27752	PF02845
ath:AT2G43745	PF01419
ath:AT3G55880	PF01312,PF10457
ath:AT2G33100	PF00535,PF03552,PF13632,PF13641
ath:AT1G59720	PF01535,PF12854,PF13041,PF13812,PF14432
ath:AT5G41440	PF00097,PF01213,PF05308,PF11789,PF12678,PF12861,PF12906,PF13639,PF13920,PF13923,PF14570,PF14634
ath:AT4G29090	PF13456,PF13966
ath:AT4G03440	PF00023,PF05823,PF12796,PF13606,PF13637,PF13857,PF13962
ath:AT2G47340	PF04043
ath:AT1G30230	PF00736,PF14497
ath:AT2G25650	PF04504,PF12776
ath:AT5G63130	PF00564
ath:AT5G54140	PF01546,PF06528
ath:AT5G15620	PF00646,PF07723,PF12937,PF15577,PF15660
ath:AT4G25130	PF01625
ath:AT4G17680	PF00097,PF01442,PF04156,PF04340,PF08702,PF09856,PF13445,PF13920,PF13923,PF14447,PF14634
ath:AT1G04410	PF00056,PF02866
ath:AT1G70290	PF00982,PF02358,PF08282,PF09893
ath:AT2G39890	PF01490
ath:AT1G26100	PF03188
ath:AT1G59722	PF08350
ath:AT3G05545	PF00097,PF00628,PF08746,PF12678,PF12861,PF13639,PF13920,PF13923,PF14570,PF14634
ath:AT5G37310	PF02990,PF13273
ath:AT5G23395	PF06747,PF07802
ath:AT4G39370	PF00443,PF13423
ath:AT3G59520	PF01694
ath:AT1G66160	PF04564,PF11789
ath:AT3G22260	PF02338,PF10275,PF15272
ath:AT1G18650	PF07983
ath:AT1G63855	PF10294,PF12847
ath:AT1G62200	PF00854
ath:AT3G09140	PF05056
ath:AT3G10850	PF00753,PF09249,PF12706,PF13483
ath:AT1G80570	PF00646,PF12799,PF12937,PF13516,PF13855
ath:AT1G03080	PF06005,PF07765,PF14197
ath:AT3G58190	PF03195
ath:AT1G59725	PF00226,PF01556
ath:AT4G35730	PF03398
ath:AT2G20680	PF00150,PF01261,PF02836,PF11790,PF12876
ath:AT1G76440	PF00011
ath:AT2G02310	PF00646,PF12937,PF14299
ath:AT5G63135	PF05058,PF15243
ath:AT5G47910	PF00036,PF00970,PF01794,PF08022,PF08030,PF08414,PF09771,PF13202,PF13405,PF13499,PF13833
ath:AT5G10650	PF00097,PF00628,PF05290,PF11793,PF12678,PF12861,PF13639,PF13920,PF13923,PF14570,PF14634
ath:AT3G62000	PF01135,PF01596,PF05175,PF12847,PF13578,PF13659,PF13847
ath:AT2G24000	PF00450
ath:AT1G68990	PF00940,PF14700
ath:AT2G42370	PF15345
ath:AT3G54550	PF04720
ath:AT1G72800	PF00076,PF05045,PF13893,PF14259,PF14605
ath:AT2G38240	PF03171,PF14226
ath:AT1G21130	PF00891,PF05891,PF08100,PF12847
ath:AT1G61190	PF00005,PF00560,PF00910,PF00931,PF05729,PF12799,PF13094,PF13191,PF13207,PF13238,PF13401,PF13504,PF13604,PF13779,PF13855,PF15535
ath:AT1G13680	PF00388
ath:AT5G45040	PF00034,PF02167,PF13442,PF14495
ath:AT5G24890	PF00956,PF15341
ath:AT5G19220	PF00132,PF00483,PF12804
ath:AT5G06520	PF01805
ath:AT4G35733	PF00646,PF03478,PF12937
ath:AT4G08580	PF06991
ath:AT4G02110	PF00533,PF12738
ath:AT3G28730	PF00505,PF03531,PF05764,PF08073,PF08512,PF09011
ath:AT3G13160	PF01535,PF02840,PF12854,PF13041,PF13317,PF13812
ath:AT1G17000	PF00982,PF02358,PF08323
ath:AT5G60990	PF00270,PF00271
ath:AT5G59280	PF00806
ath:AT5G46580	PF01535,PF12854,PF13041,PF13176,PF13424,PF13812
ath:AT4G16350	PF00036,PF07879,PF08463,PF10591,PF12763,PF13202,PF13405,PF13499,PF13833
ath:AT1G09550	PF03283
ath:AT1G31410	PF01547,PF13343,PF13416,PF13531
ath:AT2G21900	PF03106,PF06513
ath:AT4G38040	PF03016
ath:AT4G30760	PF01936
ath:AT2G34600	PF06200,PF09425
ath:AT1G44478	PF00160
ath:AT1G71470	PF11081,PF15460
ath:AT1G23960	PF04776
ath:AT5G42940	PF00097,PF11793,PF12678,PF12861,PF13445,PF13639,PF13920,PF13923,PF14634
ath:AT4G04940	PF00400,PF04192
ath:AT1G19830	PF02519,PF04831,PF12412
ath:AT5G64630	PF00400,PF04053,PF08662
ath:AT4G26630	PF08766,PF12630
ath:AT4G11060	PF00436
ath:AT1G53420	PF00069,PF00560,PF07714,PF11721,PF12799,PF13855
ath:AT1G59890	PF02671,PF08295
ath:AT2G33270	PF00085,PF08534,PF13098,PF13462,PF13905,PF14595
ath:AT5G38810	PF00646,PF08268,PF12937
ath:AT5G01550	PF00069,PF00139,PF01636,PF07714
ath:AT1G12030	PF04720
ath:AT1G75110	PF02419,PF03407,PF04156
ath:AT1G27600	PF03360
ath:AT5G23240	PF00037,PF00226,PF09598,PF13370,PF13459,PF14697
ath:AT5G14250	PF01399,PF02828
ath:AT3G45450	PF00004,PF01695,PF02861,PF06068,PF07728,PF13191
ath:AT1G63700	PF00069,PF01636,PF06293,PF07714,PF14531
ath:AT1G67660	PF09588
ath:AT2G29140	PF00806,PF04286,PF07990
ath:AT3G19630	PF04055,PF13353,PF13394
ath:AT1G04580	PF00111,PF00941,PF01315,PF01799,PF02738,PF03450,PF14128
ath:AT5G28490	PF04852
ath:AT5G15790	PF00097,PF11789,PF12678,PF12861,PF13445,PF13639,PF13920,PF13923,PF14634,PF15227
ath:AT4G33070	PF00205,PF02775,PF02776,PF14375
ath:AT3G59690	PF00612,PF13178
ath:AT1G26270	PF00240,PF00454
ath:AT1G23965	PF04288
